Date,Description,Order_PDF_Link,Press_Release_Link,Guidance_Link
04/20/2020," On April 20, the Department of Public Health issued clarified guidance and an emergency order regarding crisis standards of care (CSC)",https://www.mass.gov/doc/csc-data-reporting-order/download,,https://www.mass.gov/doc/statewide-advisory-committee-recommendations-for-standards-of-care/download
04/16/2020," On April 16, Governor Baker issued an emergency order authorizing the creation of and operation of emergency residential programs and emergency placement agencies for children",https://www.mass.gov/doc/april-16-2020-eec-order,,
04/14/2020," On April 14, the Department of Public Health issued guidance to all non-healthcare essential service workers and their employers regarding safety practices for workers who may have had exposure to a person with suspected or confirmed COVID-19",,,https://www.mass.gov/doc/non-healthcare-essential-service-worker-covid-19-exposure-guidance/download
04/09/2020," On April 9, Governor Baker issued an emergency order providing accelerated licensing of physicians educated in foreign medical schools",https://www.mass.gov/doc/april-9-2020-foreign-medical-doctors/download,,
04/09/2020," On April 9, Governor Baker issued an emergency order authorizing nursing practice by nursing school graduates and students in their final semester of nursing education programs",https://www.mass.gov/doc/april-9-2020-nursing-school-students/download,,https://www.mass.gov/doc/nursing-student-guidance/download
04/09/2020," On April 9, Governor Baker issued an emergency order mandating that insurers cover all medically required costs of COVID-19 treatment in out-of-network hospitals and or other medical facilities with no cost to the patient",https://www.mass.gov/doc/april-9-2020-inpatient-services-and-billing/download,,
04/08/2020," On April 8, the Department of Public Health issued an emergency order regarding collection of complete demographic information on patients with confirmed or suspected COVID-19",https://www.mass.gov/doc/covid-data-reporting-order/download,,
04/07/2020," On April 7, the Department of Public Health issued an emergency order regarding grocery store operations and occupancy limits",https://www.mass.gov/doc/order-grocery-stores-40-percent/download,,
04/06/2020," On April 6, the Department of Public Health issued an order regarding submission of written follow up procedures for oral prescriptions",https://www.mass.gov/doc/follow-up-for-oral-prescriptions-order/download,,https://www.mass.gov/doc/guidance-on-order-for-follow-up-to-oral-prescription/download
04/04/2020," On April 4, the Department of Public Health issued an emergency order regarding the COVID Pharmacy Assistance Team",https://www.mass.gov/doc/dph-ehs-order-authority-for-covid-pharmacy-assistance-team/download,,
04/04/2020," On April 4, the Department of Public Health issued guidance related to the operation of nurseries, greenhouses, garden centers, and agricultural supply stores",,,https://www.mass.gov/doc/dph-nurseries-guidance/download
04/03/2020," On April 3, the Department of Public Health issued an emergency order expanding the availability of certain health care providers",https://www.mass.gov/doc/order-maximizing-available-healthcare-providers/download,,https://www.mass.gov/doc/guidance-licensing-changes-during-state-of-emergency/download
04/03/2020," On April 3, the Department of Public Health issued an emergency order relative to expanded practice by advanced practice registered nurses at Department of Mental Health facilities",https://www.mass.gov/doc/order-re-aprn-mental-health/download,,
04/03/2020," On April 3, the Department of Public Health issued an updated order permitting licensed pharmacies to create and sell hand sanitizer over the counter",https://www.mass.gov/doc/hand-sanitizer-compounding-revised-4-3-2020,,
04/02/2020," On April 2, 2020, the Department of Public Health issued an emergency order regarding the provision of skilled nursing care in Assisted Living Residences",https://www.mass.gov/doc/order-re-alr-waivers/download,,https://www.mass.gov/doc/eoea-dph-order-guidance-for-alrs/download
04/02/2020," On April 2, the Baker-Polito Administration issued guidance related to the enforcement of COVID-19 safety guidelines and procedures for construction sites",,,https://www.mass.gov/doc/april-2-2020-construction-enforcement-procedures
04/01/2020," On April 1, the Department of Public Health issued an emergency order regarding administration of certain medications in Community Programs",https://www.mass.gov/doc/map-inhaler-epinephrine-oxygen-access-order/download,,
03/31/2020," On March 31, Governor Baker issued an order extending the closure of non-essential businesses and organizations for in-person operations until May 4",https://www.mass.gov/doc/march-31-2020-essential-services-extension-order,https://www.mass.gov/news/baker-polito-administration-extends-non-essential-business-closures-and-executive-branch,
03/31/2020," On March 31, Governor Baker issued an order extending the prohibition on gatherings of 10 or more people until May 4",https://www.mass.gov/doc/march-31-2020-essential-services-extension-order,,https://www.mass.gov/doc/march-31-2020-assemblage-guidance
03/31/2020," On March 31, the Department of Public Health released guidance for hotels and motels related to the Governor's order extending the prohibition on gatherings of 10 or more",https://www.mass.gov/doc/march-31-2020-essential-services-extension-order,,https://www.mass.gov/doc/march-31-2020-hotel-motel-guidance
03/30/2020," On March 30, Governor Baker issued an emergency order regarding  the conduct of shareholder meetings by public companies",https://www.mass.gov/doc/virtual-shareholder-meeting-order/download,,
03/30/2020," On March 30, Governor Baker issued an emergency order authorizing the Executive Office of Health and Human Services to adjust essential provider rates",https://www.mass.gov/doc/eohhs-provider-rates-order/download,,
03/29/2020," On March 29, the Department of Public Health issued an emergency order regarding long-term care facility resident transfers and discharges",https://www.mass.gov/doc/masshealth-moving-residents-order/download,,
03/29/2020," On March 29, the Department of Public Health issued an emergency order authorizing DPH’s Office of Preparedness and Emergency Management to conduct CORI checks on volunteers who register with MA Responds to respond to the COVID-19 emergency without a notarized CORI Acknowledgement Form",https://www.mass.gov/doc/cori-notary-order/download,,
03/26/2020," On March 26, Governor Baker issued an emergency order suspending state permitting deadlines and extending the validity of state permits",https://www.mass.gov/doc/march-26-2020-permit-extension-order,,
03/26/2020," On March 26, Governor Baker issued an emergency order extending certain professional licenses, permits, and registrations issued by Commonwealth agencies",https://www.mass.gov/doc/march-26-2020-business-licensure-extension-order,,
03/26/2020,"  On March 26, the Department of Public Health issued an emergency order addressing independent prescriptive practice for advanced practice registered nurses",https://www.mass.gov/doc/march-26-2020-advanced-practice-registered-nurses-order/download,,https://www.mass.gov/doc/guidance-independent-practice-of-advanced-practice-registered-nurses/download
03/25/2020," On March 25, Governor Baker issued an extension of the suspension of school operations for educational purposes at all public and private elementary and secondary (K-12) schools in the Commonwealth (not including residential and day schools for special needs students) until May 4",https://www.mass.gov/doc/march-25-school-closure-extension-order,https://www.mass.gov/news/baker-polito-administration-announces-extension-of-school-and-non-emergency-child-care-program,
03/25/2020," On March 25, Governor Baker issued an extension of the closure of all non-emergency childcare programs",https://www.mass.gov/doc/march-25-2020-eec-closure-extension-order,https://www.mass.gov/news/baker-polito-administration-announces-extension-of-school-and-non-emergency-child-care-program,
03/25/2020," On March 25, the Department of Public Health issued an emergency order addressing operation of grocery stores and pharmacies",https://www.mass.gov/doc/grocery-and-pharmacy-store-order/download,,
03/24/2020," On March 24, the Department of Public Health issued an emergency order exempting hospitals from the nurse staffing requirements of M",https://www.mass.gov/doc/nursing-staff-order/download,,
03/24/2020," On March 24, the Department of Public Health issued an emergency order exempting certain activities from determination of need approval, that are necessary to address COVID-19",https://www.mass.gov/doc/don-order/download,,https://www.mass.gov/doc/guidance-re-don-for-covid-19-work/download
03/24/2020," On March 24, the Department of Public Health issued an emergency order regarding modifications to pharmacy practice",https://www.mass.gov/doc/pharmacy-practice-order/download,,https://www.mass.gov/info-details/covid-19-guidance-and-directives#health-care-professionals-&-organizations-
03/24/2020," On March 24, the Department of Public Health issued an emergency order regarding provision of day program services provided in group settings",https://www.mass.gov/doc/order/download,,
03/23/2020," On March 23, the Department of Public Health issued an order permitting facilities licensed by the Massachusetts Cannabis Control Commission to create and donate hand sanitizer to certain entities",https://www.mass.gov/doc/ccc-hand-sanitizer-order/download,,
03/23/2020," On March 23, the Department of Public Health issued an order regarding modification of certain requirements for inspections by the Chief Medical Examiner",https://www.mass.gov/doc/cremation-viewing-order/download,,
03/20/2020," On March 20, Governor Baker issued an order allowing the Registrar to extend vehicle registrations and modify the conditions of registrations, plates and titles",https://www.mass.gov/doc/march-20-2020-rmv-order,https://www.mass.gov/news/baker-polito-administration-announces-new-health-care-resources-small-business-relief-other,
03/20/2020," On March 20, Governor Baker issued an order making a change to the inspection statutes that require a smoke and carbon dioxide alarm inspection prior to a residential real estate transaction",https://www.mass.gov/doc/march-20-2020-smoke-alarm-inspections-order,https://www.mass.gov/news/baker-polito-administration-announces-new-health-care-resources-small-business-relief-other,
03/18/2020," On March 18, Governor Baker signed an emergency order extending professional licenses",https://www.mass.gov/doc/march-18-2020-professional-licensure-order,,
03/18/2020," On March 18, the Department of Public Health issued an order regarding the sharing of critical information with first responders",https://www.mass.gov/doc/order-of-the-commissioner-of-public-health-regarding-the-sharing-of-critical-information-with/download,,
03/18/2020," On March 18, the Department of Public Health issued an order regarding the administration of certain medications for the treatment of opioid misuse disorder",https://www.mass.gov/doc/march-18-2020-pharmacist-opioid-misuse-disorder-medication,,https://www.mass.gov/doc/guidance-pharmacist-administration-of-medication-for-the-treatment-of-opioid-use-disorder-moud/download
03/18/2020," On March 18, the Department of Public Health issued an order regarding the flexible reassignment of Physicians Assistants",https://www.mass.gov/doc/march-18-2020-physician-assistant-order,,https://www.mass.gov/doc/guidance-flexible-reassignment-of-physician-assistants/download
03/17/2020," On March 17, Governor Baker issued an order extending the registration of certain health care professionals' licenses",https://www.mass.gov/doc/march-17-2020-registration-of-health-care-professionals-order/download,,
