Date,Description,Order_PDF_Link,Press_Release_Link,Guidance_Link
4/24/2020,An Order Expediting Extraordinary Emergency Financial Orders and Allotments by Waiving the Thirty Day Waiting Period During the State of Emergency,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/eo43.pdf,,
4/21/2020,An Order Regarding a Covid-19 Related Loan Guarantee Program,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2042.pdf,,
4/21/2020,An Order Regarding Certain Laws Enforced by the Department of Inland Fish & Wildlife,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2041.pdf,,
4/16/2020,"An Order Regarding Unlawful Evictions, Writs of Possession and Initiation of Eviction Proceedings",https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20Regarding%20Unlawful%20Evictions%2C%20Writs%20of%20Possession%2C%20and%20Initiation%20of%20Eviction%20Proceedings_0.pdf,,
4/10/2020,An Order Modifying the Primary Election to Reduce Exposure to Covid-19,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/An%20Order%20Modyifying%20the%20Primary%20Election%20to%20Reduce%20Exposure%20to%20COVID-19.pdf,,
4/10/2020,An Order Regarding the Expiration of Optometric Lens Prescriptions,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2038.pdf,,
4/8/2020,An Order Temporarily Modifying Certain In-Person Notarization and Acknowledgement Requirements,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO37.pdf,,
4/7/2020,An Order Regarding Guide Licensing and Outdoor Ethics Laws Enforced by the Department of Inland Fish & Wildlife,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2036.pdf,,
4/6/2020,An Order Suspending Enforcement of Provisions of Certain Licensing Statutes and Rules in Order to Facilitate Health Care and Veterinary Care During the State of Emergency Created by COVID-19,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2035.pdf,,
4/3/2020,An Order Establishing Quarantine Restrictions on Travelers Arriving in Maine,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2034.pdf,,
4/1/2020,An Order Regarding Expiration of Certain Licenses and Permits Issued by the Department of Marine Resources,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2033.pdf,,
4/1/2020,An Order Regarding Fire Burn Permits,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2032.pdf,,
3/31/2020,An Order Extending Deadlines Related to Certain Property Tax Exemptions,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2031.pdf,,
4/9/2020,An Order Regarding an Extension of the Current Use Taxation Deadline,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO-30a.pdf,,
3/31/,An Order Modifying Provisions of the Maine General Assistance Program and Related Rules in Order to Meet the Basic Needs of People During the COVID-19 Pandemic,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2029_0.pdf,,
4/10/2020,An Order Updating Executive Order 28 Fy 19/20,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2028-A.pdf,,
3/30/2020,An Order Regarding State Certified Hypodermic Apparatus Exchange Programs,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2027.pdf,,
3/27/2020,An Order Regarding Certain Watercraff Laws Enforced by the Department of Inland Fish & Wildlife,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2026.pdf,,
3/27/2020,An Order Regarding the Maine Quality Centers Program,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO25-An%20Order%20Regarding%20the%20Maine%20Quality%20Centers%20Program_0.pdf,,
3/26/2020,An Order Regarding Recycling and Solid Waste Facility Operating Hours Enforced by the Department of Environmental Protection,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2024.pdf,,
3/26/2020,An Order Suspending Provisions of the Maine Pharmacy Act and Related Rules in Order to Facilitate the Continuation of Out-Of­state Clinical Trials of Investigational Drugs During the Covid- 19 Pandemic,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2023.pdf,,
3/26/2020,An Order Increasing Flexibility in Scheduling Physical Exams for Children Ordered Into the Custody of Dhhs for Their Protection and Containment Of COVID-19,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2022.pdf,,
3/25/2020,An Order Regarding Certain Elver Fishing Laws,https://www.maine.gov/governor/mills/sites/maine.gov.governor.mills/files/inline-files/EO%2021.pdf,,
