Date,Description,PDF_Link
4/17/20, Extension of Executive Orders ,https://governor.ri.gov/documents/orders/Executive-Order-20-28.pdf
4/17/20, Further Preparations for a Predominantly Mail Ballot Election ,https://governor.ri.gov/documents/orders/Executive-Order-20-27.pdf
4/15/20, Support for Young Adults Aging Out of State Care ,https://governor.ri.gov/documents/orders/Executive-Order-20-26.pdf
4/15/20, Public Meetings and Public Records Requests ,https://governor.ri.gov/documents/orders/Executive-Order-20-25.pdf
4/14/20, Requiring Cloth Face Masks at Work ,https://governor.ri.gov/documents/orders/Executive-Order-20-24.pdf
4/10/20, Extension of Various Executive Orders ,https://governor.ri.gov/documents/orders/Executive-Order-20-23.pdf
4/10/20, Shareholder Meetings ,https://governor.ri.gov/documents/orders/Executive-Order-20-22.pdf
4/10/20," Increasing Hospital and Nursing Facility Capacity, Extending Statutory Immunity ",https://governor.ri.gov/documents/orders/Executive-Order-20-21.pdf
4/9/20, Further Quarantine Order   ,https://governor.ri.gov/documents/orders/Executive-Order-20-20.pdf
4/9/20," Increasing Access to Unemployment Insurance  
  ",https://governor.ri.gov/documents/orders/Executive-Order-20-19.pdf
4/8/20, Extension of Declaration of Disaster Emergency  ,https://governor.ri.gov/documents/orders/Executive-Order-20-18.pdf
4/7/20," Testing, Critical Supplies and Hospital Capacity Reporting  ",https://governor.ri.gov/documents/orders/Executive-Order-20-17.pdf
4/6/20, Authorizing Waiver and Medicaid State Plan Amendments and Adjustments to Essential Provider Rates ,https://governor.ri.gov/documents/orders/Executive-Order-20-16.pdf
3/20/20, Extension of Executive Orders on the Operation of Food Establishments and Close Contact Businesses ,https://governor.ri.gov/documents/orders/Executive-Order-20-15.pdf
3/28/20," Staying At Home, Reducing  Gatherings, Certain Retail Business Closures and Further Quarantine Provisions ",https://governor.ri.gov/documents/orders/Executive-Order-20-14.pdf
3/28/20," Staying At Home, Reducing Gatherings, Certain Retail  Business Closures and Further Quarantine Provisions ",https://governor.ri.gov/documents/orders/Executive-Order-20-13.pdf
03/26/20, Quarantine Restrictions on Travelers from New York State ,https://governor.ri.gov/documents/orders/Executive-Order-20-12.pdf
3/23/20, Delaying the Primary Elections and Preparing for a Predominantly Mail Ballot Election ,https://governor.ri.gov/documents/orders/Executive-Order-20-11.pdf
3/23/20, Quarantine Restrictions on Domestic Air Travelers ,https://governor.ri.gov/documents/orders/Executive-Order-20-10.pdf
03/22/20," Public Gatherings, Close-Contact Businesses, Public Recreation  and Business Service Providers ",https://governor.ri.gov/documents/orders/Executive-Order-20-09.pdf
3/20/20," Economic Support for Restaurants, Bars and Establishments that Offer Food ",https://governor.ri.gov/documents/orders/Executive-Order-20-08.pdf
3/20/20, Extension of Time for Weapon and Firearm Background Checks ,https://governor.ri.gov/documents/orders/Executive-Order-20-07.pdf
03/18/20,,https://governor.ri.gov/documents/orders/Executive-Order-20-06.pdf
03/16/20, Public Meetings and Public Records Requests ,https://governor.ri.gov/documents/orders/Executive-Order-20-05.pdf
03/16/20,"  Restaurants, Bars, Entertainment Venues, and Public Gatherings ",https://governor.ri.gov/documents/orders/Executive-Order-20-04.pdf
03/13/2020,,https://governor.ri.gov/documents/orders/Executive-Order-20-03.pdf
03/09/2020,,https://governor.ri.gov/documents/orders/Executive-Order-20-02.pdf
