Date,Description,Order_PDF_Link,Press_Release_Link,Guidance_Link
04/24/2020,"On April 24, outlined some additional openings as part of the phased restart of Vermont’s economy.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%2011%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/new-order-governor-phil-scott-continues-phased-re-opening-expands-health-safety,
04/17/2020,"On April 17, outlined an approach for the phased restart of Vermont’s economy, emphasizing the state’s modeling indicates initial steps can be taken while the Stay Home/Stay Safe order remains in effect.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%2010%20TO%20EXECUTIVE%20ORDER%2001-20_0.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-outlines-principles-and-safety-precautions-phased-restart-vermont,
04/10/2020,"On April 10, extended Vermont’s State of Emergency through May 15, which also extends the expiration date of all corresponding orders and directives issued in response to the COVID-19 pandemic.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%209%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-extends-state-emergency-vermont,
04/07/2020,"On April 7, requested federal disaster funds to assist the state of Vermont in its response to the COVID-19 pandemic. The request asks for federal Public Assistance (PA) funds for the state and all towns for costs incurred in the response to and recovery from the COVID-19 pandemic, as well as Individual Assistance, including Disaster Unemployment Assistance and Crisis Counseling Assistance/Regular Services Program for all Vermont counties.",,https://governor.vermont.gov/press-release/governor-phil-scott-submits-requests-federal-disaster-declaration,
03/30/2020,"On March 30, Governor Scott ordered residents and non-residents coming from outside the state for anything other than an essential purpose to home-quarantine for 14 days and strongly discourages travel to Vermont by those located in COVID-19 “hot spots"" designated by the CDC.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%207%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/addendum7pr,
03/26/2020,"On March 26, Governor Scott directed directed schools to remain dismissed for in-person insutrction through the end of the 2019-2020 school year and ordered districts to implement continuity of learning plans for remote learning.",https://governor.vermont.gov/sites/scott/files/documents/Directive%205%20-%20Continuity%20of%20Learning%20Planning%20_0.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-dismisses-schools-person-instruction-remainder-2019-2020-school,https://education.vermont.gov/news/covid-19-guidance-vermont-schools
03/24/2020,"On March 24, Governor Scott issued a “Stay Home, Stay Safe” order and directed the closure of in-person operations for all non-essential businesses (effective March 25-April 15).",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%206%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-issues-%E2%80%9Cstay-home-stay-safe%E2%80%9D-order-directs-additional-closures,
03/23/2020,"On March 23, Governor Scott ordered telecommuting or work from home procedures for all businesses and not-for-profit entities, to the maximum extent possible (effective March 23-April 15).",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%205%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-orders-businesses-and-non-profits-implement-work-home-procedures,
03/21/2020,"On March 21, Governor Scott ordered the closure of close-contact businesses.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%204%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-covid-19-community-mitigation-measures-directs,
03/21/2020,"On March 21, Governor Scott further restricted* non-essential gatherings to 10 or less people.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%204%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-covid-19-community-mitigation-measures-directs,
03/20/2020,"On March 20, Governor Scott ordered suspension of all non-essential adult elective surgery and medical surgical procedures.",https://governor.vermont.gov/sites/scott/files/documents/ADDENDUM%203%20TO%20EXECUTIVE%20ORDER%2001-20.pdf,,
03/18/2020,"On March 18, Governor Scott suspended in-person transactions at the Department of Motor Vehicles.",https://governor.vermont.gov/sites/scott/files/documents/Directive%20%203%20-%20Department%20of%20Motor%20Vehicles%20Suspension%20of%20In-Person%20Transactions_0.pdf,https://dmv.vermont.gov/blog/covid-19-continuity-of-operations-plan-for-alternative-services,
03/17/2020,"On March 17, Governor Scott directed childcare centers across the state to close normal operations but encouraged continued operation exclusively where needed to provide childcare services for workers who are essential to Vermont’s ongoing effort in community mitigation of COVID-19.",https://governor.vermont.gov/sites/scott/files/documents/Directive%202%20-%20Childcare%20For%20Essential%20Service%20Providers.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-orders-implementation-child-care-system-personnel-essential-covid,https://education.vermont.gov/documents/guidance-child-care-essential-persons-covid19
03/16/2020,"On March 16, Governor Scott ordered the closure of all bars and restaurants statewide.",https://governor.vermont.gov/sites/scott/files/documents/Directive%204%20-%20Department%20of%20Liquor%20and%20Lottery%20-%20Delivery%20and%20Take-Out%20of%20Beverage%20Alcohol%20-%20Amended%20March%2020%2C%202020.pdf,https://governor.vermont.gov/press-release/governor-phil-scott-announces-new-guidance-covid-19-community-mitigation-measures,
03/15/2020,"On March 15, Governor Scott directed the dismissal of PreK-12 schools and development of a Continuity of Education Plan.",https://governor.vermont.gov/sites/scott/files/documents/Directive%201%20-%20Continuity%20of%20Education%20Planning.pdf,https://governor.vermont.gov/press-release/gov-scott-orders-orderly-closure-vermont-prek-12-schools-week,https://education.vermont.gov/news/covid-19-guidance-vermont-schools
03/13/2020,"On March 13, Governor Scott restricted visitor access at long-term care",,,https://dail.vermont.gov/novel-coronavirus-information
